,Sensor No,Temp,Time
0,17,27.095,2021-05-31 13:14:58
1,17,27.157,2021-05-31 13:15:03
2,17,27.157,2021-05-31 13:15:09
3,17,27.157,2021-05-31 13:15:20
4,17,27.157,2021-05-31 13:18:52
5,17,27.157,2021-05-31 13:19:00
6,17,27.157,2021-05-31 13:19:06
7,17,27.157,2021-05-31 13:19:10
8,17,27.157,2021-05-31 13:19:15
9,17,27.157,2021-05-31 13:19:19
10,17,27.157,2021-05-31 13:19:23
11,17,27.157,2021-05-31 13:19:28
12,17,27.157,2021-05-31 13:19:33
13,17,27.157,2021-05-31 13:19:36
14,17,27.157,2021-05-31 13:19:43
15,17,27.157,2021-05-31 13:19:47
16,17,27.157,2021-05-31 13:19:52
17,17,27.157,2021-05-31 13:19:56
18,17,27.157,2021-05-31 13:20:01
19,17,27.157,2021-05-31 13:20:06
20,17,27.157,2021-05-31 13:20:14
21,17,27.157,2021-05-31 13:20:18
22,17,27.157,2021-05-31 13:20:39
23,17,27.157,2021-05-31 13:20:44
24,17,27.157,2021-05-31 13:20:49
25,17,27.157,2021-05-31 13:20:54
26,17,27.157,2021-05-31 13:21:00
27,17,27.157,2021-05-31 13:21:04
28,17,27.157,2021-05-31 13:21:08
29,17,27.157,2021-05-31 13:21:12
30,17,27.157,2021-05-31 13:21:16
31,17,27.157,2021-05-31 13:21:20
32,17,27.157,2021-05-31 13:21:27
33,17,27.157,2021-05-31 13:21:32
34,17,27.157,2021-05-31 13:21:35
35,17,27.157,2021-05-31 13:21:39
36,17,27.157,2021-05-31 13:21:43
37,17,27.157,2021-05-31 13:21:47
38,17,27.157,2021-05-31 13:24:57
39,17,27.157,2021-05-31 13:28:05
40,17,27.157,2021-05-31 13:28:10
41,17,27.1541,2021-05-31 13:55:40
42,17,27.1541,2021-05-31 13:57:18
43,17,27.1541,2021-05-31 13:58:00
44,17,27.1541,2021-05-31 13:58:47
45,17,27.1541,2021-05-31 14:00:08
46,17,27.1541,2021-05-31 14:12:02
47,17,27.1541,2021-05-31 14:12:44
48,17,27.1541,2021-05-31 14:13:19
49,17,27.1541,2021-05-31 14:14:44
50,17,27.1631,2021-05-31 14:15:30
51,17,27.1631,2021-05-31 14:18:08
52,17,27.1631,2021-05-31 14:19:42
53,17,27.1631,2021-05-31 14:20:46
54,17,27.1631,2021-05-31 14:21:08
55,17,27.1631,2021-05-31 14:25:36
56,17,27.1631,2021-05-31 14:27:35
57,17,27.1631,2021-05-31 14:28:13
58,17,27.1631,2021-05-31 14:28:49
59,17,27.1631,2021-05-31 14:31:05
60,17,27.1307,2021-05-31 15:09:54
61,17,27.1307,2021-05-31 15:10:20
62,17,27.1307,2021-05-31 15:14:54
63,17,27.0716,2021-05-31 15:15:25
64,17,27.0716,2021-05-31 15:16:56
65,17,27.0716,2021-05-31 15:17:14
66,17,27.0716,2021-05-31 15:32:59
67,17,27.0716,2021-05-31 15:33:40
68,17,27.0716,2021-05-31 15:35:37
69,17,27.0716,2021-05-31 15:35:57
70,17,26.9593,2021-05-31 15:57:56
71,17,26.6506,2021-06-01 07:44:25
72,17,27.1131,2021-06-01 08:07:06
73,17,27.5897,2021-06-01 08:27:17
74,17,27.5897,2021-06-01 08:30:15
75,17,27.5897,2021-06-01 08:32:28
76,17,27.5897,2021-06-01 08:37:50
77,17,27.5897,2021-06-01 08:38:31
78,17,27.5897,2021-06-01 08:39:34
79,17,27.5897,2021-06-01 08:41:16
80,17,27.5897,2021-06-01 08:44:05
81,17,27.7782,2021-06-01 08:49:26
82,17,27.7782,2021-06-01 08:49:44
83,17,27.7782,2021-06-01 08:50:28
84,17,27.7782,2021-06-01 08:52:06
85,17,27.7782,2021-06-01 08:53:04
86,17,27.7782,2021-06-01 08:58:30
87,17,27.7782,2021-06-01 09:02:15
88,17,27.7782,2021-06-01 09:11:39
89,17,27.8612,2021-06-01 09:17:09
90,17,27.8612,2021-06-01 09:46:02
91,17,27.8643,2021-06-01 09:46:41
92,17,27.8643,2021-06-01 09:47:42
93,17,27.8643,2021-06-01 09:48:12
94,17,27.8643,2021-06-01 09:48:26
95,17,27.8643,2021-06-01 09:49:26
96,17,27.8643,2021-06-01 09:52:35
97,17,27.8643,2021-06-01 09:53:42
